===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
36    {'r': 0.185, 'p': 0.053, 'f': 0.083}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.148, 'p': 0.043, 'f': 0.066}
37     {'r': 0.286, 'p': 0.076, 'f': 0.12}        {'r': 0.0, 'p': 0.0, 'f': 0.0}    {'r': 0.238, 'p': 0.063, 'f': 0.1}
38      {'r': 0.5, 'p': 0.064, 'f': 0.114}  {'r': 0.087, 'p': 0.007, 'f': 0.013}    {'r': 0.5, 'p': 0.064, 'f': 0.114}
39    {'r': 0.467, 'p': 0.063, 'f': 0.112}  {'r': 0.067, 'p': 0.005, 'f': 0.009}  {'r': 0.467, 'p': 0.063, 'f': 0.112}
40    {'r': 0.143, 'p': 0.035, 'f': 0.056}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.086, 'p': 0.021, 'f': 0.034}
41     {'r': 0.444, 'p': 0.184, 'f': 0.26}   {'r': 0.167, 'p': 0.05, 'f': 0.077}  {'r': 0.361, 'p': 0.149, 'f': 0.211}
42       {'r': 0.568, 'p': 0.1, 'f': 0.17}  {'r': 0.237, 'p': 0.026, 'f': 0.047}  {'r': 0.541, 'p': 0.095, 'f': 0.162}
43    {'r': 0.462, 'p': 0.117, 'f': 0.186}   {'r': 0.12, 'p': 0.019, 'f': 0.033}  {'r': 0.308, 'p': 0.078, 'f': 0.124}
44    {'r': 0.344, 'p': 0.051, 'f': 0.089}  {'r': 0.032, 'p': 0.003, 'f': 0.005}  {'r': 0.281, 'p': 0.042, 'f': 0.073}
45     {'r': 0.409, 'p': 0.08, 'f': 0.133}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.318, 'p': 0.062, 'f': 0.104}
46     {'r': 0.391, 'p': 0.04, 'f': 0.072}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.348, 'p': 0.035, 'f': 0.064}
47    {'r': 0.455, 'p': 0.139, 'f': 0.213}   {'r': 0.056, 'p': 0.012, 'f': 0.02}   {'r': 0.394, 'p': 0.12, 'f': 0.184}
48    {'r': 0.393, 'p': 0.204, 'f': 0.268}  {'r': 0.143, 'p': 0.063, 'f': 0.088}  {'r': 0.357, 'p': 0.185, 'f': 0.244}
49    {'r': 0.222, 'p': 0.025, 'f': 0.044}  {'r': 0.037, 'p': 0.003, 'f': 0.005}  {'r': 0.222, 'p': 0.025, 'f': 0.044}
50     {'r': 0.571, 'p': 0.12, 'f': 0.199}  {'r': 0.111, 'p': 0.017, 'f': 0.029}  {'r': 0.536, 'p': 0.113, 'f': 0.186}
51      {'r': 0.3, 'p': 0.121, 'f': 0.173}  {'r': 0.023, 'p': 0.007, 'f': 0.011}   {'r': 0.25, 'p': 0.101, 'f': 0.144}
52    {'r': 0.341, 'p': 0.187, 'f': 0.241}  {'r': 0.091, 'p': 0.036, 'f': 0.052}  {'r': 0.317, 'p': 0.173, 'f': 0.224}
53    {'r': 0.594, 'p': 0.161, 'f': 0.253}  {'r': 0.161, 'p': 0.034, 'f': 0.056}  {'r': 0.438, 'p': 0.119, 'f': 0.187}
54    {'r': 0.174, 'p': 0.031, 'f': 0.053}  {'r': 0.045, 'p': 0.005, 'f': 0.009}  {'r': 0.174, 'p': 0.031, 'f': 0.053}
55    {'r': 0.517, 'p': 0.103, 'f': 0.171}   {'r': 0.393, 'p': 0.051, 'f': 0.09}  {'r': 0.517, 'p': 0.103, 'f': 0.171}
56    {'r': 0.622, 'p': 0.086, 'f': 0.152}  {'r': 0.283, 'p': 0.021, 'f': 0.039}   {'r': 0.533, 'p': 0.074, 'f': 0.13}
57     {'r': 0.378, 'p': 0.07, 'f': 0.119}  {'r': 0.051, 'p': 0.005, 'f': 0.009}  {'r': 0.297, 'p': 0.055, 'f': 0.093}
58     {'r': 0.37, 'p': 0.068, 'f': 0.114}  {'r': 0.138, 'p': 0.018, 'f': 0.031}   {'r': 0.37, 'p': 0.068, 'f': 0.114}
59    {'r': 0.613, 'p': 0.196, 'f': 0.297}  {'r': 0.281, 'p': 0.065, 'f': 0.106}  {'r': 0.484, 'p': 0.155, 'f': 0.234}
60     {'r': 0.644, 'p': 0.312, 'f': 0.42}  {'r': 0.522, 'p': 0.188, 'f': 0.276}   {'r': 0.644, 'p': 0.312, 'f': 0.42}
61    {'r': 0.405, 'p': 0.112, 'f': 0.175}  {'r': 0.109, 'p': 0.021, 'f': 0.035}  {'r': 0.381, 'p': 0.105, 'f': 0.165}
62     {'r': 0.162, 'p': 0.12, 'f': 0.138}  {'r': 0.054, 'p': 0.034, 'f': 0.042}   {'r': 0.162, 'p': 0.12, 'f': 0.138}
63    {'r': 0.517, 'p': 0.172, 'f': 0.259}  {'r': 0.172, 'p': 0.042, 'f': 0.068}  {'r': 0.517, 'p': 0.172, 'f': 0.259}
64    {'r': 0.489, 'p': 0.089, 'f': 0.151}  {'r': 0.178, 'p': 0.017, 'f': 0.031}  {'r': 0.467, 'p': 0.085, 'f': 0.144}
65     {'r': 0.375, 'p': 0.07, 'f': 0.118}  {'r': 0.038, 'p': 0.004, 'f': 0.008}  {'r': 0.292, 'p': 0.054, 'f': 0.092}
66    {'r': 0.645, 'p': 0.129, 'f': 0.215}  {'r': 0.167, 'p': 0.021, 'f': 0.037}  {'r': 0.516, 'p': 0.103, 'f': 0.172}
67       {'r': 0.4, 'p': 0.108, 'f': 0.17}  {'r': 0.075, 'p': 0.014, 'f': 0.023}  {'r': 0.257, 'p': 0.069, 'f': 0.109}
68     {'r': 0.32, 'p': 0.057, 'f': 0.096}  {'r': 0.083, 'p': 0.009, 'f': 0.017}   {'r': 0.32, 'p': 0.057, 'f': 0.096}
69      {'r': 0.235, 'p': 0.16, 'f': 0.19}  {'r': 0.059, 'p': 0.033, 'f': 0.043}   {'r': 0.206, 'p': 0.14, 'f': 0.167}
70    {'r': 0.258, 'p': 0.036, 'f': 0.063}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.258, 'p': 0.036, 'f': 0.063}
71    {'r': 0.486, 'p': 0.101, 'f': 0.167}   {'r': 0.25, 'p': 0.036, 'f': 0.063}  {'r': 0.486, 'p': 0.101, 'f': 0.167}
72    {'r': 0.452, 'p': 0.091, 'f': 0.152}  {'r': 0.265, 'p': 0.036, 'f': 0.063}  {'r': 0.452, 'p': 0.091, 'f': 0.152}
73    {'r': 0.333, 'p': 0.174, 'f': 0.229}   {'r': 0.087, 'p': 0.03, 'f': 0.044}    {'r': 0.292, 'p': 0.152, 'f': 0.2}
74    {'r': 0.429, 'p': 0.094, 'f': 0.154}   {'r': 0.083, 'p': 0.01, 'f': 0.019}  {'r': 0.429, 'p': 0.094, 'f': 0.154}
75     {'r': 0.333, 'p': 0.066, 'f': 0.11}  {'r': 0.032, 'p': 0.004, 'f': 0.007}    {'r': 0.3, 'p': 0.059, 'f': 0.099}
76     {'r': 0.419, 'p': 0.044, 'f': 0.08}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.387, 'p': 0.041, 'f': 0.073}
77     {'r': 0.37, 'p': 0.111, 'f': 0.171}  {'r': 0.078, 'p': 0.017, 'f': 0.027}  {'r': 0.304, 'p': 0.092, 'f': 0.141}
