===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
36    {'r': 0.296, 'p': 0.067, 'f': 0.109}   {'r': 0.038, 'p': 0.006, 'f': 0.01}   {'r': 0.222, 'p': 0.05, 'f': 0.082}
37    {'r': 0.333, 'p': 0.069, 'f': 0.114}  {'r': 0.045, 'p': 0.008, 'f': 0.013}  {'r': 0.238, 'p': 0.049, 'f': 0.081}
38    {'r': 0.792, 'p': 0.085, 'f': 0.154}  {'r': 0.348, 'p': 0.023, 'f': 0.043}  {'r': 0.792, 'p': 0.085, 'f': 0.154}
39      {'r': 0.5, 'p': 0.061, 'f': 0.109}   {'r': 0.167, 'p': 0.01, 'f': 0.019}    {'r': 0.5, 'p': 0.061, 'f': 0.109}
40    {'r': 0.286, 'p': 0.056, 'f': 0.094}  {'r': 0.029, 'p': 0.004, 'f': 0.007}  {'r': 0.229, 'p': 0.045, 'f': 0.075}
41      {'r': 0.75, 'p': 0.25, 'f': 0.375}  {'r': 0.417, 'p': 0.102, 'f': 0.164}  {'r': 0.639, 'p': 0.213, 'f': 0.319}
42    {'r': 0.784, 'p': 0.117, 'f': 0.204}  {'r': 0.605, 'p': 0.055, 'f': 0.102}  {'r': 0.784, 'p': 0.117, 'f': 0.204}
43    {'r': 0.923, 'p': 0.202, 'f': 0.331}   {'r': 0.52, 'p': 0.071, 'f': 0.126}  {'r': 0.885, 'p': 0.193, 'f': 0.317}
44    {'r': 0.625, 'p': 0.078, 'f': 0.138}   {'r': 0.29, 'p': 0.021, 'f': 0.039}  {'r': 0.594, 'p': 0.074, 'f': 0.131}
45    {'r': 0.455, 'p': 0.079, 'f': 0.134}   {'r': 0.045, 'p': 0.006, 'f': 0.01}  {'r': 0.409, 'p': 0.071, 'f': 0.121}
46     {'r': 0.652, 'p': 0.06, 'f': 0.109}  {'r': 0.174, 'p': 0.009, 'f': 0.018}   {'r': 0.652, 'p': 0.06, 'f': 0.109}
